rank,variant,inst_id,score,total_return_pct,max_drawdown_pct,profit_factor,fills,risk_events,bars,latest_signal,latest_confidence,latest_allowed_sides,model_path,error
1,baseline,BTC-USDT-SWAP,1.514544882838540951911150902,0.6412361434488,0.6834665636522196826962830326,0,4,0,315,off,1,,,
2,baseline,ETH-USDT-SWAP,-7.684281259917025407754755697,0.1201284590940000000000001,2.567766982168950562037132301,1.519252925106913139178320403,14,1,315,off,1,,,
3,baseline,XAU-USDT-SWAP,-18.33008543458503207900653738,-1.56689518347600000000000004,2.020834900227010693002179072,0,4,1,315,off,1,,,
4,baseline,SOL-USDT-SWAP,-56.89354904206025743399554247,-4.45319666618400000000000002,5.68608148432800000000000002,0.4887410378298712830022288372,27,4,315,off,1,,,
5,baseline,DOGE-USDT-SWAP,-63.03704668148882445308243725,-1.18136052852399999999999977,5.69431328331635898910325515,1.385667641278126257113663639,93,7,210,off,1,,,
6,baseline,ZEC-USDT-SWAP,-135.1000822264062384492926956,-3.59594774607599999999999985,12.392052358308,1.229932916410880775353651904,181,13,210,off,1,,,
7,baseline,SPCX-USDT-SWAP,-140.1989041693882631783232654,-9.81181735980400000000000033,10.05468220677549758299977864,0.606205945077114785338035939,75,11,315,off,1,,,
8,baseline,HYPE-USDT-SWAP,-217.6758108812318850411514093,-15.88605060612000000000000001,16.05255354928000000000000004,0.5130260955440574794242954567,107,16,315,off,1,,,
9,baseline,SNDK-USDT-SWAP,-232.1877000855080732842784249,-18.68010822738719999999999973,19.36065241033439999999999982,0.3073450275219633578607867616,80,15,315,off,1,,,
10,baseline,MU-USDT-SWAP,-253.9247277047817760624598392,-18.15445900761599999999999952,18.15445900761599999999999952,0.5782426742651119687700786994,124,19,315,off,1,,,
11,baseline,SLX-USDT-SWAP,-694.8741724354332155741582343,-62.15076010254000000000000054,64.376885013057252639181552,0.4297615069492711716932119338,310,37,210,off,1,,,
12,baseline,LAB-USDT-SWAP,-944.6295881692478809340846977,-98.0993267869999999999999994,99.68076384601201233652580875,0.4050052583940780377463630575,354,37,210,off,1,,,
1,rules,BTC-USDT-SWAP,-0.134069590139198560937124719,0.0756247032072,0.228856134322666186979041573,0,1,0,315,range,0.99,"long,short",,
2,rules,ETH-USDT-SWAP,-8.068356851411670515555887304,-0.490717237584,1.047390478618696247730183524,1.018341767390209113817331634,8,1,315,range,0.593946,"long,short",,
3,rules,XAU-USDT-SWAP,-20,0,0,0,0,0,315,mixed,0.50241,,,
4,rules,SOL-USDT-SWAP,-23.1312600440115144785148536,-1.00998312962400000000000002,1.770343146844241110963809165,1.109850957508604427188286985,22,3,315,range,0.930925,"long,short",,
5,rules,SPCX-USDT-SWAP,-106.2745251584766731009469404,-7.8184514432839999999999999,8.203789922660603283285579889,0.3053251913205683744548994453,36,8,315,range,0.99,"long,short",,
6,rules,HYPE-USDT-SWAP,-113.3564839351143063107836547,-5.45325383101200000000000004,7.20403540420156991179159767,1.034318800769201712295569219,108,11,315,range,0.99,"long,short",,
7,rules,SNDK-USDT-SWAP,-115.5567474132320755963965025,-9.01334869286719999999999973,9.955115080592846033711164345,0.6809963000076312523684947251,67,8,315,range,0.590446,"long,short",,
8,rules,DOGE-USDT-SWAP,-118.5047579205044046459066953,-8.46829909179600000000000013,11.69328529310657833783051075,0.7241471629996651837924187444,84,8,210,range,0.977103,"long,short",,
9,rules,MU-USDT-SWAP,-179.5410872312191074445917919,-13.33736043177599999999999984,16.06456446752199216413213377,0.5010239492254345239023044132,78,12,315,range,0.745476,"long,short",,
10,rules,ZEC-USDT-SWAP,-186.5461715096044608523964716,-14.69124978258000000000000011,16.71941878305830225515922292,0.6885419849452229565405987905,119,12,210,mixed,0.37719,,,
11,rules,LAB-USDT-SWAP,-457.4161550966798054130243822,-49.8271269346000000000000001,52.91977779352395738464154427,0.3258430111460333704501255142,121,15,210,trend_down,0.642676,short,,
12,rules,SLX-USDT-SWAP,-534.0025233642534987723690121,-47.90858066230000000000000032,48.48774136212074568578690475,0.5475116856543691424958517215,281,29,210,range,0.559056,"long,short",,
1,rf,ZEC-USDT-SWAP,10.02488369490372861028712632,2.6108699421,2.293364900074169470622587737,4.230749313363118511077444767,24,1,210,mixed,0.421034,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
2,rf,HYPE-USDT-SWAP,4.35040872498524873547902286,1.421978384624,1.605195055326280053514362165,2.989040176234044448011054679,18,1,315,mixed,0.357758,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
3,rf,XAU-USDT-SWAP,1.022678016559124810426071317,0.412834822008,0.3762204238242917298579762278,0,2,0,315,range,0.984537,"long,short",reports/regime_model/20260625T103649Z/regime_rf.joblib,
4,rf,SOL-USDT-SWAP,-12.31125807023569260641712842,-0.287340390288,1.611169349846926425479702113,1.335805770228543335010988959,21,2,315,range,0.814113,"long,short",reports/regime_model/20260625T103649Z/regime_rf.joblib,
5,rf,DOGE-USDT-SWAP,-13.130018025529374258054983,0.649693294546,5.175121491575798701046612985,2.148286635507010922542427979,10,1,210,mixed,0.501568,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
6,rf,BTC-USDT-SWAP,-13.1917300407524,-0.9559614343932,0.9559614343932,0,2,1,315,range,0.898351,"long,short",reports/regime_model/20260625T103649Z/regime_rf.joblib,
7,rf,SPCX-USDT-SWAP,-24.34071872981818267243990091,-0.69237629084799999999999976,2.646077066559892429410632934,1.183508816626747307895998465,26,3,315,mixed,0.510343,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
8,rf,SNDK-USDT-SWAP,-24.64916886170372407690916719,-1.4976404654464,3.628942566142422644883459049,0.8641103492545719288706049799,18,2,315,mixed,0.395268,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
9,rf,ETH-USDT-SWAP,-29.15732259635024346082286559,-2.65564822908,2.65564822908,0.3411075036048782695885672052,11,2,315,range,0.862432,"long,short",reports/regime_model/20260625T103649Z/regime_rf.joblib,
10,rf,MU-USDT-SWAP,-33.94750076069383943603909207,-0.9855115728320000000000001,3.111401887713431531995936713,1.164375596887227579974359237,32,4,315,mixed,0.358799,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
11,rf,SLX-USDT-SWAP,-412.8739476858374042661978711,-39.46471623123999999999999953,40.23361903922262950648773599,0.3428871783952421266326674889,160,20,210,mixed,0.365484,,reports/regime_model/20260625T103649Z/regime_rf.joblib,
12,rf,LAB-USDT-SWAP,-789.1636744122625171753811773,-83.3786248623999999999999999,83.8295855563999999999999999,0.4197908532687414123094110104,243,30,210,range,0.688978,"long,short",reports/regime_model/20260625T103649Z/regime_rf.joblib,
1,hmm,XAU-USDT-SWAP,1.022678016559124810426071317,0.412834822008,0.3762204238242917298579762278,0,2,0,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
2,hmm,ETH-USDT-SWAP,-11.94280651640944797739400562,-0.224392183092,1.577853762072,1.344161751087276011302997188,21,2,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
3,hmm,BTC-USDT-SWAP,-13.1917300407524,-0.9559614343932,0.9559614343932,0,2,1,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
4,hmm,SOL-USDT-SWAP,-40.9310861120635872143795529,-2.29965492707999999999999997,3.586076167976298853606126814,1.01288105009265467321941371,39,4,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
5,hmm,SPCX-USDT-SWAP,-69.01510559504540974830461477,-4.60304339859999999999999984,5.056810990123836093248647376,0.7837504848630492657206633586,50,6,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
6,hmm,SNDK-USDT-SWAP,-72.24883293668707804405357742,-5.3267608073328000000000001,7.469715101210957434261480207,0.7336777981384971293654318006,46,5,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
7,hmm,MU-USDT-SWAP,-79.19048299832636757490554508,-6.0339478338879999999999999,6.496385275413138041651364592,0.7172320817325232750242741476,54,6,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
8,hmm,DOGE-USDT-SWAP,-91.61970742637592789834696979,-8.67327479010400000000000005,9.12059742209860384238119898,0.2175920001679418143983136742,28,5,210,mixed,0.483199,,reports/regime_model/20260625T103649Z/regime_hmm.joblib,
9,hmm,ZEC-USDT-SWAP,-95.56026902511151746507092161,-8.744539530804,10.53943502976,0.5180970936922412674645391956,47,5,210,mixed,0.483199,,reports/regime_model/20260625T103649Z/regime_hmm.joblib,
10,hmm,HYPE-USDT-SWAP,-128.3109960891739766950187793,-6.81276177875999999999999997,7.983888341847884042951719565,0.945858025704837716918189643,109,12,315,range,0.77886,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
11,hmm,SLX-USDT-SWAP,-806.8939369970619954406883128,-71.03297200936000000000000008,71.35503204181998190506214465,0.6515235829189751372490607446,465,45,210,range,0.527812,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
12,hmm,LAB-USDT-SWAP,-982.1255343079498331870611996,-96.9722925164,97.52213355559463377370852352,0.6650182122170340670321855126,488,44,210,range,0.527812,"long,short",reports/regime_model/20260625T103649Z/regime_hmm.joblib,
